cluster,size,churn_rate,mean_roi,mean_std,mean_sharpe
Skilled Investors,1008,13.492063492063494,-0.0029806015938622335,0.058276866050613114,-0.08272078832858877
Cautious/Conservative,758,95.11873350923483,-0.7537992717964381,0.18707531033979158,-7.166701742860421
Unsuccessful Gamblers,577,30.32928942807625,0.0015605258395454099,0.5357913258596188,0.006586450856460836
Jackpot Seekers,1423,32.115249472944484,-0.19971973693383843,0.36108136272276875,-0.5620455883075446
