,Threshold,Jackpot Group Size,Jackpot Churn Rate (%),Regular Churn Rate (%),Churn Rate Diff (%),Jackpot Mean EXPECTED_ROI,Jackpot Mean ROI_STANDARD_DEVIATION,Jackpot Mean SHARPE_RATIO,Jackpot Mean WIN_LOSS_RATIO,Jackpot Mean MAX_TRADE_PROPORTION
Expected ROI,0.005464613989,356.0,28.08988764044944,40.25039123630673,-12.160503595857293,0.06998229270009831,0.4384949451470505,0.17108894391404494,1.0552188623595506,0.05710864155937922
ROI Standard Deviation,0.5028226154,356.0,33.42696629213483,39.65571205007824,-6.228745757943415,-0.07571970885166322,0.6378973506387641,-0.1344846962517194,0.5831076713483146,0.0926189489658427
Sharpe Ratio,-3.75958011,356.0,98.87640449438202,32.36306729264476,66.51333720173726,-0.7925656949483146,0.11469308922320226,-8.237926725278092,0.0027610393258426964,0.4557967751125843
Win/Loss Ratio,0.938776,356.0,28.08988764044944,40.25039123630673,-12.160503595857293,0.03364338751222628,0.3142966192887359,0.103972101002875,1.3388950646067417,0.07721053775783708
Max Trade Proportion,0.4726206141,356.0,92.97752808988764,33.02034428794992,59.957183801937724,-0.704829501164446,0.18778686477276124,-5.507471631216153,0.09196485955056179,0.5891030685078651
