,JACKPOT_SCORE
count,7643.0
mean,0.1001009428236334
std,0.010358124572342566
min,9.501652499647042e-11
25%,0.09999634084329106
50%,0.09999640018258506
75%,0.09999643444117115
max,0.9999964671337501
