SWAPPER,EXPECTED_ROI,ROI_STANDARD_DEVIATION,SHARPE_RATIO,WIN_LOSS_RATIO,MAX_TRADE_PROPORTION,MAX_TOKEN_ROI,MIN_TOKEN_ROI,ROI_RANGE,IQR_ROI,UNIQUE_TOKENS_TRADED,TRADING_DAYS
EWJMDvQSzfaDs84L3JvhBJmwAkA8RwEe65aociAAgR5N,-0.3740989202,0.2582958027,-1.448333818,0.1111111111,0.1105564738,0.02133230622,-0.6654389579,0.6867712641,0.3443861312,17,12
4bNjctJkj3J3kDnDYqGDsZ1JGgteKEXgKvDTaZkh5nUG,-0.3741837612,0.3446955563,-1.085546379,0.1290322581,0.1203369445,0.4334258997,-0.8669530034,1.300378903,0.5500823813,38,13
5EcQGfhBk88XfnhJA3EcHCf5SG2N9aaHHvcXrw9aQ8Le,-0.3742907584,0.3050124796,-1.227132604,0.1,0.0693433878,0.3676602882,-0.8092324168,1.176892705,0.4297150384,38,16
BFK8pzFrnNWzLxHVzZuu8cYtETgAknQADK9fWBg9rciJ,-0.3745371184,0.4315695372,-0.8678488311,0.18,0.06989735221,0.7034059896,-0.9247392605,1.62814525,0.7617518704,99,29
Hu6QKY8wKDAxYgBMfwhbqqTRMbd19Wv4tqubgvmidmCs,-0.3747862937,0.3109259905,-1.205386267,0.07407407407,0.1061456343,0.02938255892,-0.886734927,0.916117486,0.5665156092,33,14
8pgAJDGiQwWRLeh3BGWKjfom48UCH9h3N1TXAjvei18J,-0.3748494085,0.3035438465,-1.234910694,0.1666666667,0.0207141763,0.2155439784,-0.8414331581,1.056977137,0.4351065572,50,16
5nH4FjA1rkTWGJCE2NQCVLDz7Zumt1XUYtwwu6UVpjDG,-0.3749437999,0.3029390723,-1.237685922,0.07407407407,0.1133533938,0.5773328328,-0.7413950118,1.318727845,0.4119882228,34,10
7FTdfGoB5aYvPNqv89ESkGapzAuvnnYobXt3JjbS7Rw9,-0.3754835494,0.3641776974,-1.031046941,0.2264150943,0.04324324239,0.3968240155,-0.8848790906,1.281703106,0.7055342027,73,10
FdVfvRrvQhGXA4eFghsAQTcuRRYAkH3DPo93E3pTdr3r,-0.3758125683,0.3601912932,-1.043368343,0.2727272727,0.3210760498,0.0427222725,-0.8377563455,0.880478618,0.6805602512,12,10
DgpEcgHGyRkPGu6xXEGYFUHu5BE5SWvbE8g5xysAqkEK,-0.3759958528,0.3576488017,-1.051296453,0.2361111111,0.04782134177,0.6426587009,-0.8964245658,1.539083267,0.4261991917,89,14
CyVCoX9PE7UrYdCo16Sd1FgDKwCyUkbVR49A6DPEiuVa,-0.3762226876,0.2995520444,-1.255952405,0.1428571429,0.3231717251,0.06233817668,-0.8942370722,0.9565752489,0.3494285555,16,10
BFUZ7bz9UDw4BbkPEA6nGnFHTQeX4nUx4UmRaJDCdEXG,-0.376533323,0.3687886906,-1.02099983,0.1012658228,0.07744056516,0.339106767,-0.8986847468,1.237791514,0.6925213556,93,15
5QuhwpDpmnvoinmsbG9eLgpnPN69D6ZAqQVGMK4peg7q,-0.3767164086,0.3417123862,-1.102435987,0.1538461538,0.02801223508,0.7258541313,-0.8684319769,1.594286108,0.5693709861,123,22
26iShUmJM1YqzP9kPqJFMsHw7qqLU4D7zbWgwyT1jrQ5,-0.3783643869,0.368399016,-1.027050482,0.25,0.2254439379,0.07791723724,-0.8070053453,0.8849225826,0.6857734547,20,16
6WS7w3k1UB8225BThZcKVJiPAgnkbKXfSJTjCUMUqkKA,-0.3788512507,0.2050861363,-1.847277063,0.06666666667,0.06589571515,0.0004773894737,-0.6631178206,0.6635952101,0.2882901984,20,17
4sT4xpfBZMC5wSEGws5cGsGKWeeiLgz6EcjRVWARLjhD,-0.3788597169,0.2937177081,-1.289877852,0.07894736842,0.03469922862,0.4317609445,-0.8002911512,1.232052096,0.4102433585,48,14
7k1P1p7ESwyYiGWNxRDaf6cL3FJqDkFjSkNy7RFMGxHJ,-0.3792515409,0.3377726171,-1.122800094,0.08695652174,0.08840177508,0.1989507572,-0.8807116902,1.079662447,0.5578467447,33,15
2Dr26ucfoHoVARE2HBc62UVQteD2ZwPxM4vMiDW7wj2P,-0.3794500651,0.4042307829,-0.9386968147,0.156097561,0.03594344876,1.826039,-0.9230413333,2.749080333,0.6979355417,258,56
6xyfo5792ZVEeWLsc1jQzvmNzrs6NyB3FZCdPDyA6xb1,-0.3797063927,0.3433720181,-1.105818987,0.06060606061,0.03449341717,0.3121095074,-0.916887768,1.228997275,0.5714713851,71,19
7mG2jiPtGWafKaSoqA8mAWTqkPvAEv56y6ziAwkJYqPv,-0.379883546,0.3398018563,-1.117953443,0.1568627451,0.08817452375,0.6820962151,-0.8754819986,1.557578214,0.4867239587,72,17
9G2DnVfnxWEiD1DyX8MDhXSYV3JysdXhJD8pPJTrW1dK,-0.3802132814,0.2898011984,-1.31198024,0.04255319149,0.04108799118,0.2948348,-0.8701820502,1.16501685,0.4459896496,54,30
