IS_CHURNED,WALLET_COUNT,AVG_LOSS_RATIO,MEDIAN_LOSS_RATIO,AVG_WIN_RATE,MEDIAN_WIN_RATE,AVG_TOTAL_PNL,MEDIAN_TOTAL_PNL,AVG_UNIQUE_TOKENS,MEDIAN_UNIQUE_TOKENS
false,3124,0.718512274328,0.737347,0.277106045134,0.258333,-8.435055382,-0.312774991,110.274008,35
true,6876,0.745189628418,0.7757815,0.251470218296,0.222222,-3.726531381,-0.1916456885,30.911722,10
﻿
