WALLET_ADDRESS,UNIQUE_TOKENS,TOTAL_PNL,TOTAL_TRADES,PNL_CATEGORY,TOKEN_COUNT_CATEGORY
9FKFPxY3ZKpxZbd3hPyNBcyD6VNmjuR96oFowKLgCFyp,1,-2.599999999e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
3VqJmHAUkpNhtFnKjTTNk2sMSgsG53gz2mTHfpujvcH4,1,-1.680000006e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
CkiLSZmjRhGCLJGhr1QqzsyrMyXmrVSKCqFUAFgovxsM,1,-0.4064711,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
2chFBsLKnMSyoiziak5i165JrYKjEi1ey6mztbjqvEWH,1,-0.468591558,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
GFuithuosqNp9una254D82CRkj4BQFRkwFjXRVYjig7Y,1,-0.42095792,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
H3npsarhEJV8GRJfYt7hjj4gGceteRX5ebtQmVxNXS1x,1,-0.370523078,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
2TbHWy1XuxQm17bv8aGpnGj31NzgLBiz8zhkkjgueAuV,1,0.261949105,1,SMALL PROFIT (0.1 to 1 SOL),VERY LOW (≤10)
Hm9dWUthKcvj1YkcWUDMZyrNswq7qskKnjMkTKBHKvj4,1,-4.599999998e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
A75EAwagafN9rrkkpeMLPpLXDvg53UweccDmPJWkomSz,1,-0.1815157,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
D9kxt1sxx6G87rKxtvZrUSfwGuHGxYQEAmD3tjEqLQ66,1,-7.999999982e-9,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
5fEJUTfuCKpRZJErZwXSRkBEwuU5p2JbtjWxR9mFivHV,1,-0.394320735,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
5VML2LHgi5U33jX25Awss1BrQBkvGJSWh83JWYCYKByr,1,-0.169004072,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
9c2dv4Qo3wjgsgZyM2eCe5w85suSAW7JrHLZtDJKKrrj,1,-0.112868454,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
8r53DDwNEL3mtfQ8g9wSWH5T4hMxBWCFN4A4HapTMfSd,1,-0.361560248,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
4atdyw5HfutA86CJUc6cu2rRnwFD8bjrDaEbW3Fr4zHK,1,-0.448838686,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
4UsH751ocQqAM9gsB2Ca3PyGNkWg66LU4GWS6RRnEbWQ,1,-5.499999989e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
9UAg9ELQ35vGasDacBkGumXsVSDztaTh6xUA59ms2YzC,1,-2.090000009e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
GwFJmMkSJYU7bsebEmYFfbSpwkzzfeEfoTFtYq8KSdS5,1,-0.036183744,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
DAkr6PJQ6MQyAqxf3yCXd2B4S46PMZWU7E92ta9ugR58,1,-0.094544515,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
ChQwCPyAViTYxZK7Y4WxSAu5S7J2VFKCTcL1MXPHLcZf,1,-0.243475845,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
H9EjQt9VdHJubzHhmjWqJRzA9tmKfwako386VZy5Gj9M,1,-0.104157593,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
3QmFr7br8n11cLLWiGYmzNKGWb6SXPdvdZYLBCPJVKQd,1,-0.242783444,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
BZavtL3uDhFaPQV3mYbupvWTpmsZiSLrzXZyfBAzyM4n,1,-0.453569497,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
GNpKWRU4HtxhM4gikYdnFKA6eTc7cfmsCDghxyhHRWUL,1,0.177638702,1,SMALL PROFIT (0.1 to 1 SOL),VERY LOW (≤10)
BYD54QZqwiNa3sTvpJ4n4xmLBVcNVJsd7NTFaRXRbfN8,1,-0.313726824,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
AVR1tmn9dZPvttKd3KWsXjtMNmr8bHHabkapBCfFBa7G,1,-0.271937811,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
26AQosV6ycveDCewtdvTRxXLyGCfDvHigPuUTHNcnEck,1,-0.375375618,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
Gb2PJyYBQek8HBzA7Gb3emZddjwxvUKdmFwQxinRUEuo,1,-2.31e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
6N7az28BHdBtkyYvRgurtTuf7hhubj4tAMsgx4k29Rpm,1,-0.134509224,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
FEBxik9Ui9HaQNn5EfAYR2hEwUeepZ17ieBsXe7Ezr4X,1,-0.339125787,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
GDmtkCJUaa5KTQWYa8T1foGiEVJ94vTQn6pJvNtrJkPj,1,-0.132685897,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
AGKLwRRoXa9axBBugFhKQgqoniket8cCprjX37YmcqFp,1,-7.300000027e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
GJSpGK8pm6N4GfZwLQLdkeppxT8dT2BhhaSV4G91bjHN,1,-0.322898424,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
5VHQJzE7n3AvbHNsP1tZc7za9hq9e3K9Xu2MGsP4Grai,1,-0.387867026,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
J5859pWfrsfVwaDPLN1NAiZr3hZUUoyha3Mw3UN9FmEb,1,-0.442894094,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
3pBqFpxTwgzANpx82hSbZcMDwQcht4Ntyt553S6u1hhD,1,-0.430263137,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
3rcat2uL5W5vC6Ed2P47u9NYiuUtBFmBrPRqkv7jzVmM,1,-0.20569954,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
GdX9PFUu4V4pRkb9RK9ADkGh4dy6Lu63CH677BdTKz2s,1,-1.009999997e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
GBwcSSMGZXYy7U67V2ucusvG7WAsWAvgY2VwYVzujrFT,1,-0.228289345,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
EtmW5bmYAAKrVyk2ShW5mDKvgm2kn2UGrzgr7Jsd3YKa,1,-8.999999995e-9,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
CKCccKADz3evs2YV3cYaKDoLWJqKBRjfTag4Pi9jc7FW,1,-8.00000001e-9,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
3gem3p2zWK2pb2U1wJCGgDzhLoTnGbLnDD7hr9b29do4,1,-0.471600537,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
8pCwArqYdnn4CZz6maKXBL4o9juYnkEb93utZ5sxJ1Gk,1,-3.300000001e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
9riCNDBcQo3nDujRBFwr2TnByLBZtcmjhBrLe8TuVjVo,1,-0.440639558,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
GSeGNQ6HVEQDk4hoFWwkZhU4xEvjiXCYGHEUKH44VhZf,1,6.476843099,1,LARGE PROFIT (5 to 10 SOL),VERY LOW (≤10)
7QdU3kXajeco82W9p7FwLhYTnGC8hxnzrjf3oPrCiqwQ,1,-0.534026149,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
AW6DgC4BdGPHew3yds8cnHg5qx9Cbe3ujJcFHp9ucAFB,1,-1.199999999e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
8nxCxnCsEVirH63LfTNbm3khjtdBT8cVTLfxANx5APJE,1,-0.188660163,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
2bS1G8P5aDVnUNvhXF5za5nCFemNFaCrfXGBDdVmv27d,1,-8.999999995e-9,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
6xTkCPgT7eSGrD724ygEPEhsUExBWw3m2xUruyW61eUW,1,-0.458684653,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
GeoMXPqP38GPKrgiUcbRxUGAyymB3RHYt23mtbgV5jKJ,1,-2.099999996e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
ESsS5bEjJP97chwBUCwuPe9m11A6FCPNZijaDXRnRctG,1,-0.178314104,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
6K4zs2wZNPcXPsG652kByirhd5rubTWQKtPgD6Yees4A,1,-0.328081642,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
9eLtKmzhFpUyFJkfPeba5fVDWFE4kXYbcqCvvZ8UpJvY,1,-0.051469459,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
3oeuPxD7co8RrpiMy3A6ojaHGnFRAqouHTy4cVyt629W,1,-0.411742522,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
89WvdBVBZDzehLCRZAubhJFQGtyKBGqCNGcsFXDnnEV8,1,-0.39056044,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
C5pxszxJx2ZJBx1B3pnm5msRYodwW1AevkK6RR2YzbAW,1,-0.318143937,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
