WALLET_ADDRESS,EXIT_STATUS,HAS_EXITED,EXPECTED_ROI,RISK_ADJUSTED_ROI,ROI_STD_DEV,PROB_POSITIVE_ROI,PROB_NEGATIVE_ROI,EXPECTED_ROI_CATEGORY,TOTAL_TOKEN_COUNT,VALID_ROI_TOKEN_COUNT,PRE_2025_TOKEN_COUNT,PRE_2025_TOKEN_RATIO,HOLDING_TOKEN_COUNT,FULLY_SOLD_TOKEN_COUNT,PARTIALLY_SOLD_TOKEN_COUNT,RANK_BY_EXPECTED_ROI,DATA_QUALITY_WARNING,DATA_LIMITATION_NOTE
2m28nx53Ls1mWAcrfMwBUR4MsLLudnfUTQRejtjFgCBc,EXITED,1,0.3322169896,0.3098498225,1.072187123,0.25,0.75,GAIN_25_TO_50,8,8,0,0,0,8,0,22,"null","null"
9xGfmAgu2kby9gMdduTPQjmyDgjBKSvuFhHWmm9n6T4b,EXITED,1,0.3130830073,0.4534083817,0.6905099683,0.8333333333,0.1666666667,GAIN_25_TO_50,6,6,0,0,0,6,0,23,"null","null"
4kMMMMnfiaboLHLshyXvFfWsPMWARuFRZYUaxJC4b3SV,ACTIVE,0,0.300806035,0.5491393324,0.5477772529,0.875,0.125,GAIN_25_TO_50,12,8,0,0,4,8,0,24,참고: 30% 이상의 토큰에 대해 ROI를 계산할 수 없음,"null"
HJFFmEWeFmqdoNgoMzpaSVUvSsHci1qZ4BANvwk7Cozs,ACTIVE,0,0.2926782013,0.5666234364,0.516530349,0.5714285714,0.4285714286,GAIN_25_TO_50,7,7,0,0,0,7,0,25,"null","null"
2Jxft6Km4uGK7H5sviv738EEDK5hd1djSs81qrUxQvRs,ACTIVE,0,0.2849942475,1.159188815,0.245856623,0.9,0.1,GAIN_25_TO_50,10,10,0,0,0,10,0,26,"null","null"
ZpUhKMkEvdg8V23xHAKT5yDhjaY8L7bTp6mSqhix7tr,ACTIVE,0,0.2788553772,0.6724349836,0.4146949282,0.825,0.15,GAIN_25_TO_50,40,40,0,0,0,40,0,27,"null","null"
9sw9e7U5crJHpBtwc5z8yZbxogV94twkYjAqxu8sjTqR,EXITED,1,0.2730630282,0.8528648549,0.3201715098,0.6666666667,0.125,GAIN_25_TO_50,75,24,0,0,60,11,4,28,참고: 30% 이상의 토큰에 대해 ROI를 계산할 수 없음,"null"
12dJLvqGJ5mSitr5BDF5uKvLaR59zEB3VN7AVgFjMUsc,EXITED,1,0.269085512,0.2648751784,1.015895539,0.4848484848,0.5151515152,GAIN_25_TO_50,37,33,1,0.02702702703,3,33,1,29,"null",참고: 일부 토큰은 2025년 1월 이전에 구매되었을 수 있으며, 이는 기대 ROI 계산에서 제외됨
9C6YAVRGouuTkEoR8oW3iWoU83uNo5qUBo3tAWP3eA41,ACTIVE,0,0.2674883578,0.9672661492,0.2765405964,0.5,0.5,GAIN_25_TO_50,2,2,0,0,0,2,0,30,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
2aPhGp6jPEJaysb6hYmcdv4RYBi3QuTdPoMFUAjFqVia,ACTIVE,0,0.2657747786,0.8537925391,0.3112873051,0.75,0.25,GAIN_25_TO_50,15,8,0,0,8,5,2,31,참고: 30% 이상의 토큰에 대해 ROI를 계산할 수 없음,"null"
