WALLET_ADDRESS,EXIT_STATUS,HAS_EXITED,EXPECTED_ROI,RISK_ADJUSTED_ROI,ROI_STD_DEV,PROB_POSITIVE_ROI,PROB_NEGATIVE_ROI,EXPECTED_ROI_CATEGORY,TOTAL_TOKEN_COUNT,VALID_ROI_TOKEN_COUNT,PRE_2025_TOKEN_COUNT,PRE_2025_TOKEN_RATIO,HOLDING_TOKEN_COUNT,FULLY_SOLD_TOKEN_COUNT,PARTIALLY_SOLD_TOKEN_COUNT,RANK_BY_EXPECTED_ROI,DATA_QUALITY_WARNING,DATA_LIMITATION_NOTE
BqksyQUsEcCqV4sMUpRwX7VMUrxFDAY6GSg1JnBoZ6EM,ACTIVE,0,2.409153845,1.213173753,1.985827537,1,0,GAIN_200_TO_500,4,4,0,0,0,2,2,1,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
9wdbQuz1mm3P5vuBdBFJXLhqQzgD1vuDSNwXS1HA23vb,EXITED,1,1.961140516,1.08670877,1.804660615,1,0,GAIN_100_TO_200,5,4,1,0.2,2,2,1,2,참고: 유효한 ROI 토큰 수가 5개 미만임,참고: 일부 토큰은 2025년 1월 이전에 구매되었을 수 있으며, 이는 기대 ROI 계산에서 제외됨
7Uagcc8nJqCbzfVMHR9gt2ceZ6MnaaXANC8YxMB7tvTu,ACTIVE,0,1.212500691,"null",0,1,0,GAIN_100_TO_200,1,1,0,0,0,1,0,3,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
Gf5Rmf4CPzGBiV92Qy7KL3QAdr41SFjgtzxHGeyfMrc8,EXITED,1,1.085133548,0.5411697057,2.005163142,0.4,0.6,GAIN_100_TO_200,5,5,0,0,0,5,0,4,"null","null"
AABjwVef5YXmfyUjwwubVjibPwwzojKjyr8oDGsybSZC,EXITED,1,0.9205392084,0.5156948053,1.785046502,0.625,0.375,GAIN_50_TO_100,8,8,0,0,0,8,0,5,"null","null"
8sTEyvy2S93QDFjKUqnd2NCnPTtJ4eEHHjpNvdkVbMmZ,EXITED,1,0.8452104455,1.114393948,0.7584485243,1,0,GAIN_50_TO_100,2,2,0,0,0,2,0,6,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
9egXHzWm553XruVeXG7pw8FhsTghYEqxPbu4GwKGFjPf,EXITED,1,0.7087640788,0.9082042611,0.7804016224,0.75,0.25,GAIN_50_TO_100,4,4,0,0,0,3,1,7,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
4RxJntfMk6B8JCdjsZVo7npqAJ5f1C1GsoysBkZUz8xo,EXITED,1,0.6436997582,0.838646773,0.7675457402,0.7272727273,0.2727272727,GAIN_50_TO_100,11,11,0,0,0,11,0,8,"null","null"
FvL28jiBdgVx4S2FYp6kMYb8Wn4Gda58GshHPujwcKDp,EXITED,1,0.6347813712,0.4803804793,1.321413751,0.7272727273,0.2727272727,GAIN_50_TO_100,23,22,0,0,1,22,0,9,"null","null"
CM9e5YdYV9fHCJPpDw2q7KkPii7LmqmBDzpFzWqwgxiz,EXITED,1,0.6252196881,0.4784863014,1.306661625,0.4,0.6,GAIN_50_TO_100,5,5,0,0,0,5,0,10,"null","null"
