# Data source: dune.bonkbot.result_dex_trading_bot_trades (extracted on 2024-04-03)
bot_name
Alpha DEX
Banana Gun
baZOOka
Bitfoot
Bloom
BonkBot
ChainSwap
Floki Trading Bot
Looter
Maestro
Magnum
MevX
Moonbot
Nova
Pepe Boost
PinkPunk
Sanji
Shuriken
Sigma
Sol Trading Bot
Soul Sniper
TradeWiz
Tirador
Trojan
Unibot 
