,EXPECTED_ROI,ROI_STANDARD_DEVIATION,SHARPE_RATIO,WIN_LOSS_RATIO,MAX_TRADE_PROPORTION,ROI_RANGE,IQR_ROI,UNIQUE_TOKENS_TRADED
EXPECTED_ROI,2374345.46474295,2374345.29592718,2374345.362924847,0.16112522165355603,-0.700360466314638,2374345.3059682255,-0.06288540930432027,-0.0935566783896125
ROI_STANDARD_DEVIATION,10073494.646419896,10073494.88481807,10073493.749733564,0.4430003775206628,0.18304995596032153,10073494.810682604,0.6704716959321569,0.4281422918871966
SHARPE_RATIO,0.33897076942192156,-0.0782241870922753,0.46996717596078424,0.285566256407388,-6.661058426229968,-0.06287443898083413,-0.3928129862521669,-0.3291552653152957
WIN_LOSS_RATIO,0.5381719572601699,0.3528423538704261,0.5126354901097124,0.5954047384072345,0.062491293594026144,0.3548661845266484,0.3308289778673856,0.34584576164604036
MAX_TRADE_PROPORTION,0.05902150668650654,0.09776831843506274,0.11046143492552378,0.08628593280286896,0.6332652627802614,0.05392083280986287,0.0855175586143124,0.013757539761166145
ROI_RANGE,42738221.76927243,42738222.91534918,42738214.48497076,2.2728565805245937,0.7349513757420039,42738223.63949152,2.838448733966143,4.022251307423567
IQR_ROI,0.4091756620009734,0.5867032918057692,0.22989316779195149,0.3129753762134606,0.05644471497366497,0.4890052857409238,0.7670957683593463,0.35180642904477866
UNIQUE_TOKENS_TRADED,190.59477124183007,112.44444444444444,87.26666666666667,114.82147024504084,25.74248366013072,313.2718954248366,85.29542483660131,528.96484375
