,EXPECTED_ROI,ROI_STANDARD_DEVIATION,SHARPE_RATIO,WIN_LOSS_RATIO,MAX_TRADE_PROPORTION
EXPECTED_ROI,1.0,0.8270717842857886,0.17452837756354184,0.15063421221345016,-0.1985735692033824
ROI_STANDARD_DEVIATION,0.8270717842857886,1.0,0.019078026269641658,0.010742849301392651,-0.02324065401140459
SHARPE_RATIO,0.17452837756354184,0.019078026269641658,1.0,0.18389988475548957,-0.4341185706217107
WIN_LOSS_RATIO,0.15063421221345016,0.010742849301392651,0.18389988475548957,1.0,-0.19210758901706862
MAX_TRADE_PROPORTION,-0.1985735692033824,-0.02324065401140459,-0.4341185706217107,-0.19210758901706862,1.0
