,eigenvalue,explained_variance_ratio,cumulative_variance_ratio
PC1,2.773660648145719,0.554586987784657,0.554586987784657
PC2,0.918830925036628,0.18371810384955292,0.7383050916342099
PC3,0.7142388824119724,0.142810401344644,0.8811154929788538
PC4,0.41992682743754156,0.0839633912945498,0.9650788842734036
PC5,0.17465127493725568,0.03492111572659624,0.9999999999999999
