PC1,PC2,PC3,SWAPPER,WALLET_STATUS
2.382308739202928,4.056043158717781,-0.5769727886046995,GR2DBk1tTg3YxabzUXQxgomNUuP7hmufffSFvc9taEdV,active
2.389780196682898,4.060276526936456,0.4402993301336781,ABehU9fYcC4EZA9dRio44r8ZhevSwo6rXJPBbRSzhufP,active
2.633310702098958,3.99121764438366,-0.1879645303410378,2EzygsSUEhWynV4rmYyZNVzyNr8fpfYf1Y96DNEimpNA,active
4.6322920084151,3.50001194676674,4.056231240307288,3C9N2xVDTzKiwet98nMDCe7LG6JhSn5DJpT3sihbLzqz,active
2.765197658580622,3.9562983969976298,0.0098905702627356,Bcxqs77edAvsEV2zJLLQ7NEqHWruacxUWSdo4nsMwiQd,churned
3.4576576423191216,3.7979948078485246,2.710278594530408,y1qt53tNTKQwRF5G7KGef59WF7QR3TfVErE8unXy18L,active
3.7883254587923023,3.7149299852535487,2.4046830960824597,EDVysWFZsXhPQiYkWi9bwJzQMFDyVPfBPbuWdAobyqXN,active
2.705018845599436,3.9788296670645065,0.1455586103450193,F33oKq1z5Wwj32QrYghuBrZxC2i2FDAszKpapoq54bzB,churned
4.102756659120517,3.633851470428999,3.328893925025021,5RshkEHc5zV9f3dahLhpy66E624VjGSLj78phNzierUG,active
4.66715374338448,3.491254566440253,4.024012836386531,JBeWAsXTJKZ1FLwfxhND8bLvTZ5XE39Ss4NwKZmot1cn,active
3.0937054694162267,3.886007675793273,0.6055768653977855,9Jf8Vz4UyN8BYNdYg2WbGB5Di5iE1dj2HkPTEaUgC4Tz,active
2.1875627496272068,4.10388272132185,-0.5204189983530401,5hZSeJbm4tx7t1P5XVCPKHxSM1z1G1Ua59xfnUUh9xg5,churned
4.442179847189614,2.224932095515101,3.91585716460744,J8kUGf9PsVZ3sthYX3MkNLPotirncaB8Fm3bjykh6HGy,active
4.518348270645171,3.5236739957514263,4.154055114361851,DRmTQxTaEWAh7Tt8zrcMSE6L62p3bdqiXDBbTisvxJSu,churned
4.716434754630054,3.4788750173807923,3.978468472994179,Gq3qEyP1ymE9qXPxuqABdvqPqoqkBsSaUKMJvjYn8HQM,active
3.2522891398217895,3.8393038400511736,1.423027775297836,5hGcKJMDHXzkyexutwYQyfvGnb5PQVkj9xVee9SsAT72,active
2.9491457110475117,3.9192383445776713,0.4638701377272444,8Jzwr2gWN1wPvhcTeVYxhnjWEPaxq4K8G7rayWpiRaZw,churned
