,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,negative_values(%)
EXPECTED_ROI,3822.0,-0.17947320294435046,1.1120473927236545,-0.8822734621,-0.34009502482500004,-0.1143793201,-0.0004984473594750001,44.46347017,29.101202115972836,1010.5427216398754,79.19937205651492
ROI_STANDARD_DEVIATION,3822.0,0.5703359383421193,8.495331108085713,3.241713452e-09,0.09974096968,0.2960736679,0.3968363668,379.338855904,36.11275815893289,1397.513822962042,0.0
SHARPE_RATIO,3822.0,-1.6478111862444467,4.692492441472351,-98.540344227,-0.9223163522,-0.37293657785,-0.058648147270000006,1.310640668,-8.944506446915941,137.14038988226514,79.19937205651492
WIN_LOSS_RATIO,3822.0,0.49983740450026165,0.9465574408184602,0.0,0.1,0.333333,0.625,25.5,12.524007054597366,241.3130203008758,0.0
MAX_TRADE_PROPORTION,3822.0,0.15410686165419607,0.1931839640064671,0.0001200929318,0.03384604778,0.08355362395499999,0.14091785037500001,0.9999917116,1.8115160317472994,2.2943067123848384,0.0
