,count,mean,std,min,25%,50%,75%,max
EXPECTED_ROI,3822.0,0.0,1.000130847236412,-2.0649485123282205,-0.3983652462368818,0.36587033071500175,0.751451894871887,1.7918669145090063
ROI_STANDARD_DEVIATION,3822.0,1.4129054923539408e-16,1.0001308472364123,-1.252218410521687,-0.8178736139135051,0.04420762581894484,0.48664861081046445,4.638957396314969
SHARPE_RATIO,3822.0,8.923613635919626e-17,1.0001308472364119,-5.543057464560393,0.17453874665992097,0.3340167806280575,0.4252507563730358,0.6106801600889719
WIN_LOSS_RATIO,3822.0,-1.1898151514559501e-16,1.000130847236412,-0.9071074522678597,-0.7087009993952518,-0.24575327071400938,0.3329328781859402,5.04508613391038
MAX_TRADE_PROPORTION,3822.0,8.923613635919626e-17,1.0001308472364123,-0.7878364365673023,-0.6253217775628959,-0.3659494089712543,-0.06662491109992695,3.2926884877923337
