,PC1,PC2,PC3,PC4,PC5
EXPECTED_ROI,0.5512660914920892,-0.21629434570956915,-0.0038702746800975446,0.06266172443688144,0.8033560740105233
ROI_STANDARD_DEVIATION,0.22570597351814992,0.9634523334765702,0.035156918556256474,-0.08480675078620221,0.11130238423093614
SHARPE_RATIO,0.5041013839827829,0.0011920666701177134,-0.2731431737369653,0.713589233737316,-0.40257121826924586
WIN_LOSS_RATIO,0.4025082920944331,-0.1025785305901023,0.8535370638347726,-0.12120841914191416,-0.29025457730521836
MAX_TRADE_PROPORTION,-0.4785722300250248,0.1202188885809959,0.44228531442129326,0.6818946017787435,0.30970872152635803
